Depth,Age (peru SST) linear,"age (2 term polynomial, 580 res age)",UK37,SST (peru),C37total (peru),%N,d15N
0,1430.600,598.520,0.748,20.840,16.83,0.00657315,7.126647175
1.5,1453.600,634.182,0.748,20.840,16.99,,
2,1461.271057,646.055,,,,0.005909455,7.437440307
3,1476.600,669.779,0.764,21.330,12.22,,
4.5,1499.600,705.311,0.759,21.170,8.39,0.005164014,8.507080658
6,1522.500,740.779,0.756,21.100,14.48,0.005448853,7.368069612
7.5,1545.500,776.183,0.762,21.260,15.94,0.005711985,7.5290298
9,1568.500,811.521,0.778,21.740,8.85,,
10.5,1591.400,846.795,0.781,21.830,9.38,0.004733904,8.806017423
12,1614.400,882.005,0.783,21.870,13.22,0.005442741,7.10163559
13.5,1637.400,917.150,0.776,21.690,12.28,0.005403251,7.008510285
15,1660.400,952.230,0.777,21.700,17.25,,
16.5,1683.300,987.246,0.772,21.550,15.27,0.005847782,6.144506693
18,1706.300,1022.197,0.772,21.570,16.55,0.005688616,6.263578184
19.5,1729.300,1057.084,0.771,21.520,21.7782648,0.005660553,5.726162582
21,1752.200,1091.906,0.770,21.510,17.98,,
22.5,1775.200,1126.663,0.771,21.540,16.8,0.005541833,5.790071716
24,1798.200,1161.356,0.765,21.364,17.93,0.005702654,6.265266836
25.5,1821.100,1195.984,0.762,21.250,17.59,0.005386091,5.71842378
27,1844.100,1230.548,0.764,21.330,16.72,,
28.5,1867.100,1265.047,0.765,21.350,22.02,0.005923169,6.184813744
30,1890.100,1299.481,0.769,21.480,19.21,0.00608744,6.311484078
31.5,1913.000,1333.851,0.763,21.300,16.13,0.006082713,6.255565878
33,1936.000,1368.156,0.754,21.036,20.89,,
34.5,1959.000,1402.397,0.752,20.970,22.92,0.005073163,5.827747658
36,1981.900,1436.573,0.762,21.250,18.94,0.005008517,5.669079396
37.5,2004.900,1470.684,0.754,21.020,13.59,0.004369843,5.691840642
39,2027.900,1504.731,0.755,21.050,21.92,,
40.5,2048.000,1538.714,0.749,20.890,15.22,0.00500099,6.103626457
42,2073.800,1572.631,0.758,21.150,15,0.004945548,7.369930083
43.5,2096.800,1606.484,0.735,20.464,13.13,0.00525644,6.331085873
45,2119.800,1640.273,0.739,20.580,12.24,0.005739886,6.368948514
46.5,2142.700,1673.997,0.754,21.040,10.16,,
48,2165.700,1707.656,0.746,20.800,15.26,0.005334186,5.02918323
49.5,2188.700,1741.251,0.738,20.570,21.44,,
51,2211.700,1774.781,0.736,20.500,13.22,,
52.5,2234.600,1808.246,0.735,20.480,17.93,0.006145388,5.856179552
54,2257.595712,1841.647,,,,0.006463704,7.741903106
55.5,2280.600,1874.983,0.726,20.200,21.07,0.006482741,7.87567296
56.25,,1891.627,,,,,
57,2303.537519,1908.255,,,,,
58,2318.851455,1930.400,,,,0.00721495,7.827612404
59,2334.200,1952.517,0.726,20.220,20.94,,
,,,,,,,
60,2349.500,1974.605,0.741,20.660,21.14,0.006394428,8.002222272
61,2364.800,1996.664,0.735,20.460,21.82,,
62,2380.107198,2018.694,,,,0.005401201,7.311571425
63,2395.400,2040.696,0.736,20.500,22.46,,
,,,,,,,
64,2410.700,2062.669,0.718,19.970,21.52,0.005377757,7.817120659
,,,,,,,
65.5,2433.700,2095.575,0.733,20.410,14.03,,
65.76,,2101.272,,,,,
66.5,2449.000,2117.476,0.743,20.700,7.16,0.006876471,5.495175117
,,,,,,,
,,,,,,,
,,,,,,,
67.5,2464.300,2139.349,0.738,20.560,7.51,,
67.75,,2144.812,,,,,
68.5,2479.600,2161.193,0.757,21.110,7.24,0.006783543,6.181807958
,,,,,,,
69.5,2495.000,2183.008,0.751,20.950,14.88,,
70.5,2510.300,2204.794,0.734,20.453,16.52790504,0.007930873,6.339426365
71.5,2525.600,2226.552,0.732,20.380,18.88,,
72.5,2540.900,2248.281,0.733,20.410,21.59,0.005819046,6.617170266
73.5,2556.200,2269.981,0.736,20.490,20.17149416,,
74.5,2571.500,2291.653,0.734,20.450,18.78,0.004271165,8.168291694
75,2579.188361,2302.478,,,,,
75.5,2586.800,2313.295,0.752,20.970,15.12,,
76.5,2602.200,2334.910,0.751,20.940,10.41,0.003618357,8.650029815
77,2609.816233,2345.706,,,,,
77.5,2617.500,2356.495,0.733,20.400,6.85,,
78.5,2632.800,2378.052,0.765,21.350,9.11,0.004853637,7.346475842
79,2640.444104,2388.819,,,,,
79.5,2648.100,2399.580,0.755,21.050,9.52,,
80.5,2663.400,2421.079,0.762,21.270,6.88,0.006275745,6.21970382
81,2671.071975,2431.818,,,,,
81.5,2678.700,2442.550,0.755,21.050,10.59,,
82,2686.385911,2453.274,0.748,20.860,7.370,0.006389845,6.278234113
82.5,2694.042879,2463.992,0.762,21.250,12.12,,
83,2701.699847,2474.702,,,,,
83.5,2709.400,2485.405,0.760,21.200,16.83,,
84,2717.013783,2496.101,,,,0.007958244,6.181228979
84.5,2724.67075,2506.789,0.725,20.181,11.46829424,,
85,2732.327718,2517.471,,,,,
85.5,2739.984686,2528.145,0.751,20.928,14.65797143,,
86,2747.641654,2538.812,0.746,,,0.006385702,6.047306231
86.5,2755.298622,2549.472,0.758,21.135,19.75651289,,
87,2762.95559,2560.125,,,,,
87.5,2770.612557,2570.771,0.750,20.912,18.15086486,,
88,2778.269525,2581.409,,,,0.008753148,6.121436506
88.5,2785.926493,2592.040,0.758,21.150,16.67660522,,
89,2793.583461,2602.664,,,,,
89.5,2801.240429,2613.281,0.762,21.264,17.35778897,,
90,2808.897397,2623.891,,,,0.008380472,5.934581467
90.5,2816.554364,2634.494,0.763,21.280,13.97197105,,
91,2824.211332,2645.089,,,,,
91.5,2831.8683,2655.677,0.754,21.032,15.79452299,,
92,2839.525268,2666.258,,,,0.007376938,5.928475218
92.5,2847.182236,2676.832,0.767,21.405,13.42127712,,
93,2854.839204,2687.399,,,,,
93.5,2862.496172,2697.958,0.767,21.420,12.27388945,,
94,2870.153139,2708.510,,,,0.006575727,6.392136433
94.5,2877.810107,2719.055,0.748,20.844,14.0660874,,
95,2885.467075,2729.593,0.747,20.817,17.29010224,,
95.5,2893.124043,2740.124,,,,,
96,2900.781011,2750.648,0.743,20.715,14.94010952,0.007020839,6.623679343
96.5,2908.437979,2761.164,,,,,
97,2916.094946,2771.673,0.742,20.669,13.06114573,,
97.5,2923.751914,2782.175,,,,,
98,2931.408882,2792.670,0.738,20.570,13.90549997,0.006189459,7.017991634
99,2946.722818,2813.638,0.728,20.278,16.99113471,,
99.5,2954.379786,2824.112,,,,,
100,2962.036753,2834.578,0.741,20.641,11.24815016,0.004179936,7.418251014
100.5,2969.693721,2845.037,,,,,
101,2977.350689,2855.489,0.769,21.484,13.47453551,,
101.5,2985.007657,2865.933,,,,,
102,2992.664625,2876.371,0.748,20.850,14.55321209,0.004628164,8.120181099
103.5,3015.635528,2907.640,0.724,20.153,16.71860759,,
104,3023.292496,2918.049,,,,0.005960675,7.333151777
104.5,3030.949464,2928.451,0.735,20.474,16.63463814,,
105,3038.606432,2938.845,,,,,
105.5,3046.2634,2949.232,0.702,19.509,13.39255101,,
106,3053.920368,2959.612,,,,,
106.5,3061.577335,2969.985,0.700,19.435,10.75817741,,
107,3069.234303,2980.351,,,,,
107.5,3076.891271,2990.709,0.716,19.904,13.02312091,,
108,3084.548239,3001.061,,,,,
108.5,3092.205207,3011.405,0.723,20.114,6.286272038,0.005389267,8.536593259
109,3099.862175,3021.742,,,,,
110.5,3122.833078,3052.710,,,,0.006046043,6.761403341
110.5,3122.833078,3052.710,0.735,20.468,8.88606313,,
111.5,3138.147014,3073.319,,,,,
112,3145.803982,3083.613,0.728,20.267,13.89213978,0.005886672,6.342345329
113,3161.117917,3104.179,,,,0.005203969,6.753099452
115.5,3199.400,3155.469,0.725,20.180,21.50183535,0.005510534,6.718058824
